idx,im_std,clicks,spent,success
255,-0.5381441300124744,7,10.07999992,-1.0
256,-0.07027106908493118,49,67.97999978,1.0
257,-0.5732250975624938,1,1.639999986,1.0
258,-0.5765023479943906,1,0.529999971,-1.0
259,-0.576540715804325,1,1.370000005,-1.0
260,-0.5809274354068247,1,1.440000057,-1.0
261,-0.5708239121240993,3,3.919999957,-1.0
262,-0.22648560723283975,38,49.44000006,-1.0
263,-0.5644740395799562,1,1.230000019,1.0
264,-0.5678376175842053,3,4.180000067,-1.0
265,-0.5862189958602773,1,1.440000057,1.0
266,-0.5774039915278489,1,1.330000043,-1.0
267,-0.567812039044249,3,3.749999881,-1.0
268,-0.5795366022967027,2,2.730000019,1.0
269,-0.5706512569793946,2,2.320000052,1.0
270,-0.5788044165904546,1,1.320000052,-1.0
271,-0.4759499101088124,5,6.169999957,1.0
272,-0.5162552944448994,4,4.940000057,1.0
273,-0.5576573586816111,5,6.340000153,1.0
274,-0.5817491460029197,1,0.860000014,-1.0
275,-0.5763392848021693,1,1.350000024,-1.0
276,-0.2626728466359678,29,39.25000095,1.0
277,-0.4894074194433031,11,12.51000035,-1.0
278,-0.5735831971218817,3,4.079999924,-1.0
279,-0.56109127767074,3,4.550000191,-1.0
280,-0.5042078021254979,7,8.910000086,1.0
281,-0.576157037704981,1,1.610000014,-1.0
282,-0.5601544636448417,3,4.300000191,-1.0
283,-0.5580889965433732,3,2.869999945,-1.0
284,-0.5781393745515916,1,1.559999943,1.0
285,-0.5842142777912049,1,1.570000052,-1.0
286,-0.5574079679170376,2,3.210000038,1.0
287,-0.5467800845652089,1,1.379999995,-1.0
288,-0.5894738650697122,2,2.839999914,1.0
289,-0.5759172388928909,1,1.320000052,-1.0
290,-0.5793383686120416,1,1.519999981,-1.0
291,-0.5909382364822084,1,0.980000019,-1.0
292,-0.5910181694195717,1,1.409999967,-1.0
293,-0.5721667854718033,3,4.329999924,1.0
294,-0.5886233786161663,1,1.070000052,-1.0
295,-0.5875554745729922,1,1.5,1.0
296,-0.5794023149619323,1,1.230000019,-1.0
297,-0.5329356998138797,4,4.659999847,1.0
298,-0.5781969262664932,1,1.539999962,1.0
299,-0.5652350011436551,2,2.720000029,-1.0
300,-0.5800737516357842,3,4.289999962,1.0
301,-0.5822671114370341,2,3.25,1.0
302,-0.5785774070483427,1,1.580000043,1.0
303,-0.5673164548325963,2,2.619999886,1.0
304,-0.5851574864520922,1,1.539999962,-1.0
305,-0.5878368385125111,1,1.590000033,1.0
306,-0.5882524897868004,1,1.389999986,-1.0
307,-0.5202167708206261,9,12.39000034,-1.0
308,-0.5875043174930796,1,0.970000029,-1.0
309,-0.5727774731132592,2,3.150000095,1.0
310,-0.5299078401465566,10,11.94999981,-1.0
311,-0.5822799007070122,1,1.360000014,-1.0
312,-0.5869735627889872,1,1.480000019,-1.0
313,-0.5888471908407836,1,1.480000019,-1.0
314,-0.5629041566901404,5,7.269999981,-1.0
315,-0.5900429875837391,1,0.409999996,-1.0
316,-0.5865643061496869,2,2.680000067,-1.0
317,-0.5450087706732374,4,6.079999924,-1.0
318,-0.5904010871431269,1,1.50999999,1.0
319,-0.5822511248495614,2,2.099999905,-1.0
320,-0.5882045300243824,1,1.559999943,1.0
321,-0.5796261271865496,2,2.960000038,-1.0
322,-0.5069766790757637,8,12.36999989,1.0
323,3.2228508468545773,141,254.049996,1.0
324,1.4417211901749052,67,122.4,1.0
